1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	1
2	1
2	1
2	1
2	1
2	1
3	1
3	1
3	1
3	1
4	1
4	1
4	1
4	1
5	1
5	1
5	1
5	1
6	1
7	1
7	1
7	1
7	1
7	1
8	1
8	1
8	1
8	1
8	1
9	1
9	1
9	1
9	1
9	1
9	1
9	1
9	1
9	1
9	1
9	1.04152
9	1.08258
9	1.12421
9	1.16645
8	1.9579
8	1.99998
8	2
8	2
8	2
8	2
8	2
8	2
7.99997	2
7.92273	2
7.84493	2
7	2.73724
7	2.80287
7	2.86863
7	2.93442
6.94823	3
6.89584	3
6.8427	3
6	3.79933
6	3.84992
6	3.89922
6	3.94864
6	3.99998
5.99993	4
5.83309	4
5.66444	4
5	4.99981
5	5
5	5.02204
5	5.0444
5	5.06687
5	5.08939
5	5.11115
5	5.13363
5	5.15534
5	5.17706
5	5.1987
5	5.22113
5	5.24384
5	5.26548
5	5.28719
5	5.30957
4	5.99999
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
3.99996	6
3.05275	7
3	7
3	7
3	7
3	7
3	7.06776
3	7.13666
2.1909	8
2.12662	8
2.06345	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8.06263
2	8.12568
2	8.18872
1.18682	9
1.12405	9
1.0629	9
1	9
1	9
1	9
1	9
1	9
1	9
1	9
1	9
1	9.00516
1	9.01031
1	9.01548
1	9.14422
1	9.14925
1	9.15449
1	9.15965
1	9.16481
1	9.16998
2	9.27735
2	9.28261
2	9.28763
2	9.29273
3	9.36943
3	9.37451
3	9.37956
3	9.38484
4	9.42592
4	9.43117
4	9.43637
4	9.44147
5	9.50348
5	9.50848
6	9.59053
6	9.59569
6	9.60086
7	9.67809
7	9.68325
7	9.68839
7	9.6934
8	9.83142
8	9.83661
8	9.84165
9	9.9028
9	9.90811
9	9.91319
9	9.91836
9	9.92337
9	9.92846
9	9.93355
9	10
9	10
9	10
9	10
9	10
9	10
9	10
9	10
9	10
9	10
9	10
9	10
9	10
9	10
9	10
9	10
9	10
